mod_mass,total_psm_count,mod_mass_spec_id,code
-92.026215,225756,10,Y[-92.026215]
12.036386,224707,354,S[12.036386]
14.999666,219154,397,Q[14.999666]
31.989829,218820,553,F[31.989829]
29.015316,217237,526,N/Q[29.015316]
-131.040485,215915,1,M of protein[-131.040485]
13.979265,214668,373,E[13.979265]
31.989829,213555,557,M[31.989829]
14.974514,213399,395,L[14.974514]
72.021129,212488,832,R[72.021129]
15.958529,211679,403,I[15.958529]
33.98435,210993,574,I/L[33.98435]
-26.052036,209446,125,I/L[-26.052036]
-90.04695,207564,11,F[-90.04695]
4.025107,205759,305,A/F/K/Y[4.025107]
74.019021,203779,837,G[74.019021]
-10.031969,202814,207,H[-10.031969]
13.979265,199814,371,A[13.979265]
31.972071,199671,546,V[31.972071]
161.068808,197417,1282,K/N/S/T/W[161.068808]
-15.994915,197279,179,D[-15.994915]
13.031634,196035,361,D[13.031634]
79.966331,195797,865,C/D/E/H/K/R[79.966331]
43.005814,195612,652,K[43.005814]
19.989829,193200,464,W[19.989829]
101.084064,192860,942,C/H/K[101.084064]
63.9619,192472,799,C[63.9619]
31.989829,187023,560,I[31.989829]
-32.041471,186406,94,F[-32.041471]
-2.981907,183665,221,M[-2.981907]
-16.013542,180826,175,M[-16.013542]
-8.016319,176958,213,H[-8.016319]
12.995249,175757,357,Y[12.995249]
-16.027929,174602,174,F[-16.027929]
31.989829,172751,558,R[31.989829]
-12.036386,172076,202,I[-12.036386]
54.010565,171794,722,K[54.010565]
77.987066,170560,851,S/T/Y[77.987066]
39.994915,168683,607,C of peptide[39.994915]
13.979265,165635,372,P[13.979265]
-22.031969,165256,135,H[-22.031969]
136.001656,164877,1128,S/T[136.001656]
-58.005479,163208,40,D[-58.005479]
-26.033409,159498,126,E[-26.033409]
231.147058,159320,1548,K/N-term of protein/S/T/Y[231.147058]
-42.04695,156405,72,I[-42.04695]
75.998285,155791,841,C[75.998285]
31.005814,154566,541,P[31.005814]
56.026215,154271,739,C[56.026215]
87.050655,153440,898,S/T[87.050655]
-15.994915,152461,177,S[-15.994915]
-26.01565,152215,127,P[-26.01565]
43.005814,150443,647,R[43.005814]
-57.032697,149249,44,R[-57.032697]
18.010565,149130,454,P[18.010565]
142.110613,149020,1167,H[142.110613]
-17.956421,148967,161,M[-17.956421]
14.96328,148961,392,K[14.96328]
154.074228,148916,1231,D/E[154.074228]
-16.990164,148904,171,N[-16.990164]
-42.04695,146915,73,L[-42.04695]
57.032697,144749,757,V[57.032697]
84.057515,143221,875,K[84.057515]
71.073499,143189,826,C[71.073499]
72.995249,143087,836,I/L[72.995249]
16.027929,143040,430,M[16.027929]
128.131349,142804,1089,Q[128.131349]
49.979265,142395,707,I/L[49.979265]
14.052036,142035,391,N[14.052036]
113.084064,140793,1012,K[113.084064]
13.979265,140023,369,S[13.979265]
45.987721,138365,685,N-term of peptide[45.987721]
165.05548,138312,1321,S/T/Y[165.05548]
15.994915,138084,428,C[15.994915]
-28.0313,137143,115,V[-28.0313]
387.127779,136262,1837,C-term of protein/E[387.127779]
48.036386,135022,701,D[48.036386]
70.041865,134794,817,K[70.041865]
18.025821,134054,455,E[18.025821]
129.042593,132178,1092,C-term of protein[129.042593]
27.994915,131890,503,N-term of protein[27.994915]
753.262796,131727,2094,C[753.262796]
-44.026215,131560,65,T[-44.026215]
-57.021464,131305,45,Q[-57.021464]
24.995249,130145,484,C[24.995249]
-13.031634,128923,198,Q[-13.031634]
13.979265,128565,368,L[13.979265]
41.001397,128524,614,F[41.001397]
58.041865,128465,769,C/H/K/N-term of protein[58.041865]
13.979265,128215,370,Q[13.979265]
129.057849,127459,1094,G[129.057849]
13.979265,127332,363,V[13.979265]
28.006148,126809,508,K[28.006148]
158.13068,126592,1265,C/H/K[158.13068]
-10.07488,125799,206,I/L[-10.07488]
-6.018427,124558,215,H[-6.018427]
178.039496,123760,1372,K/N-term of protein/S/T/Y[178.039496]
12.036386,122095,355,T[12.036386]
188.156501,121942,1390,C-term of peptide/N-term of peptide[188.156501]
59.019355,121037,774,S/T[59.019355]
116.997965,120737,1034,S/T/Y[116.997965]
6.962218,120407,323,R[6.962218]
33.987721,120313,575,P[33.987721]
26.004417,120299,489,H[26.004417]
383.228103,120299,1834,K[383.228103]
216.099774,119793,1460,C-term of peptide/D/N-term of peptide[216.099774]
-28.042534,119659,113,R[-28.042534]
-33.98435,118127,91,F[-33.98435]
26.01565,117088,491,H[26.01565]
150.041585,116896,1220,C/S[150.041585]
-1.961506,112185,233,C[-1.961506]
-27.010899,112009,123,N[-27.010899]
-44.059229,110509,64,F[-44.059229]
-17.992806,110182,159,C[-17.992806]
-40.0313,110081,80,P[-40.0313]
-25.049393,109082,131,Q[-25.049393]
-2.945522,108788,222,M[-2.945522]
-26.004417,108730,128,Y[-26.004417]
23.015984,108174,475,N[23.015984]
75.980527,107749,840,S/T[75.980527]
43.005814,107667,645,T[43.005814]
33.969094,107536,572,M[33.969094]
129.078979,106892,1095,K[129.078979]
71.037114,106201,821,N-term of peptide[71.037114]
162.125595,105108,1300,C-term of peptide/D/E/N-term of peptide[162.125595]
-9.000334,104557,211,H[-9.000334]
-15.958529,103981,182,D[-15.958529]
3.940771,102922,291,V[3.940771]
364.076278,101990,1813,A/E/K[364.076278]
88.016044,101783,903,K/N-term of protein[88.016044]
34.020735,101149,576,E[34.020735]
16.028204,101104,432,K/N-term of peptide[16.028204]
4.97893,100680,306,H[4.97893]
-27.994915,100244,118,D[-27.994915]
43.005814,100065,649,S[43.005814]
43.005814,99073,651,M[43.005814]
109.048119,97069,988,K/N-term of peptide[109.048119]
12.995249,96782,358,T[12.995249]
-12.995249,96086,199,N[-12.995249]
104.071154,95486,954,N[104.071154]
306.095082,95248,1703,C-term of peptide/D/N-term of peptide[306.095082]
656.227613,95169,2036,N/S/T[656.227613]
349.137281,94406,1793,N/S/T[349.137281]
2204.772441,94200,2768,N[2204.772441]
-14.01565,94069,192,E[-14.01565]
-4.986324,93222,217,M[-4.986324]
-6.962218,92651,214,Y[-6.962218]
-32.022844,92395,95,Y[-32.022844]
48.0,91931,699,V[48.0]
26.052036,91753,496,S[26.052036]
36.011233,91463,588,T[36.011233]
160.084792,91378,1273,H[160.084792]
